,t-SNE position x,t-SNE position y,Which t-SNE
20190122_sample_14,-28.69,15.49,Pvalb/Sst
20190122_sample_16,-46.57,22.27,Pvalb/Sst
20190122_sample_17,-47.33,-34.33,Pvalb/Sst
20190123_sample_5,-61.47,17.77,Pvalb/Sst
20190123_sample_7,-17.08,60.36,Pvalb/Sst
20190123_sample_8,-44.7,-32.43,Pvalb/Sst
20190124_sample_4,-31.03,33.01,Pvalb/Sst
20190128_sample_2,-29.71,17.65,Pvalb/Sst
20190128_sample_3,,,           
20190128_sample_4,-24.46,-14.64,Pvalb/Sst
20190128_sample_6,7.1,45.53,Lamp5/Vip
20190128_sample_7,-46.32,-33.37,Pvalb/Sst
20190128_sample_11,-49.61,7.15,Pvalb/Sst
20190128_sample_12,-54.13,12.99,Pvalb/Sst
20190130_sample_2,,,           
20190130_sample_3,42.36,-49.69,Lamp5/Vip
20190130_sample_6,-40.21,-12.87,Pvalb/Sst
20190130_sample_8,-55.94,6.17,Excitatory
20190130_sample_9,54.2,-1.57,Pvalb/Sst
20190130_sample_10,15.58,31.85,Pvalb/Sst
20190130_sample_15,-41.97,-31.94,Pvalb/Sst
20190130_sample_17,19.11,-22.37,Pvalb/Sst
20190130_sample_18,47.31,-10.31,Pvalb/Sst
20190131_sample_1,10.12,27.98,Pvalb/Sst
20190131_sample_3,-33.01,22.56,Pvalb/Sst
20190131_sample_4,60.99,-11.58,Pvalb/Sst
20190131_sample_5,-3.48,23.76,Pvalb/Sst
20190131_sample_6,1.35,35.7,Pvalb/Sst
20190131_sample_10,18.64,28.01,Pvalb/Sst
20190201_sample_2,-34.85,24.77,Pvalb/Sst
20190201_sample_3,-25.09,29.91,Pvalb/Sst
20190201_sample_4,-48.19,-35.52,Pvalb/Sst
20190201_sample_7,-40.93,-13.03,Pvalb/Sst
20190201_sample_8,-21.94,29.91,Pvalb/Sst
20190201_sample_10,-30.71,16.73,Pvalb/Sst
20190204_sample_1,62.25,8.07,Pvalb/Sst
20190204_sample_2,-54.02,-0.88,Excitatory
20190204_sample_4,23.12,20.95,Pvalb/Sst
20190204_sample_5,15.05,38.81,Pvalb/Sst
20190204_sample_6,15.68,-20.22,Pvalb/Sst
20190204_sample_7,-29.24,19.55,Pvalb/Sst
20190204_sample_8,-44.13,-18.47,Pvalb/Sst
20190204_sample_9,-35.71,18.07,Pvalb/Sst
20190204_sample_10,-58.41,18.22,Pvalb/Sst
20190204_sample_11,-1.59,-36.73,Pvalb/Sst
20190204_sample_14,56.26,-1.16,Pvalb/Sst
20190204_sample_15,19.07,23.21,Pvalb/Sst
20190204_sample_16,16.39,-19.58,Pvalb/Sst
20190204_sample_17,0.29,23.79,Pvalb/Sst
20190204_sample_18,58.54,-13.22,Pvalb/Sst
20190204_sample_19,,,           
20190204_sample_20,,,           
20190204_sample_21,-39.47,-3.26,Pvalb/Sst
20190204_sample_22,-4.07,15.51,Excitatory
20190204_sample_24,-52.0,-4.22,Excitatory
20190205_sample_1,-13.86,-36.68,Pvalb/Sst
20190205_sample_2,21.18,28.84,Pvalb/Sst
20190205_sample_3,,,           
20190205_sample_4,19.82,33.76,Pvalb/Sst
20190205_sample_5,2.25,-46.51,Pvalb/Sst
20190205_sample_6,-2.59,22.68,Pvalb/Sst
20190205_sample_7,-44.3,-33.78,Pvalb/Sst
20190211_sample_1,-23.96,-9.18,Pvalb/Sst
20190211_sample_2,-10.07,53.43,Excitatory
20190211_sample_3,-9.7,-24.38,Pvalb/Sst
20190211_sample_4,-5.19,52.42,Excitatory
20190211_sample_6,-48.4,-35.31,Pvalb/Sst
20190211_sample_8,-49.1,7.37,Pvalb/Sst
20190211_sample_9,-58.1,15.25,Pvalb/Sst
20190211_sample_10,-52.42,-13.95,Excitatory
20190211_sample_11,18.07,16.3,Pvalb/Sst
20190211_sample_12,,,           
20190212_sample_1,14.78,32.84,Pvalb/Sst
20190212_sample_4,19.14,31.87,Pvalb/Sst
20190212_sample_5,15.85,43.11,Pvalb/Sst
20190212_sample_6,6.83,11.14,Pvalb/Sst
20190212_sample_7,0.86,-45.33,Pvalb/Sst
20190212_sample_8,19.41,32.68,Pvalb/Sst
20190213_sample_1,-32.56,25.82,Pvalb/Sst
20190213_sample_4,-38.52,2.92,Pvalb/Sst
20190213_sample_7,-21.37,-17.55,Pvalb/Sst
20190213_sample_8,-29.64,26.82,Pvalb/Sst
20190214_sample_1,-17.53,59.62,Pvalb/Sst
20190214_sample_2,-35.52,23.14,Pvalb/Sst
20190214_sample_3,-57.38,16.5,Pvalb/Sst
20190214_sample_6,-43.57,-32.87,Pvalb/Sst
20190214_sample_9,-21.91,-11.16,Pvalb/Sst
20190218_sample_3,19.1,30.43,Pvalb/Sst
20190218_sample_4,18.39,32.09,Pvalb/Sst
20190218_sample_5,61.76,-0.16,Pvalb/Sst
20190219_sample_1,-3.14,-1.31,Lamp5/Vip
20190219_sample_3,,,           
20190219_sample_4,-37.74,-30.66,Lamp5/Vip
20190219_sample_7,-58.14,2.14,Lamp5/Vip
20190219_sample_8,-11.88,38.93,Excitatory
20190221_sample_1,-0.71,30.54,Pvalb/Sst
20190221_sample_2,5.47,26.5,Pvalb/Sst
20190221_sample_4,-13.92,30.08,Pvalb/Sst
20190221_sample_10,61.79,4.29,Pvalb/Sst
20190221_sample_11,-23.45,-6.47,Pvalb/Sst
20190222_sample_2,-35.8,-1.19,Excitatory
20190222_sample_3,-10.85,54.36,Excitatory
20190222_sample_4,-33.28,-1.44,Excitatory
20190222_sample_5,-47.32,5.08,Excitatory
20190222_sample_7,-34.66,-11.45,Lamp5/Vip
20190222_sample_8,-12.21,51.42,Excitatory
20190226_sample_1,-39.58,4.35,Pvalb/Sst
20190226_sample_2,26.62,-15.79,Lamp5/Vip
20190226_sample_3,-21.31,-16.96,Excitatory
20190226_sample_5,36.13,21.01,Excitatory
20190226_sample_6,3.63,-16.88,Excitatory
20190226_sample_7,32.75,-0.18,Lamp5/Vip
20190226_sample_9,-58.66,17.88,Pvalb/Sst
20190227_sample_1,57.86,9.44,Pvalb/Sst
20190227_sample_2,18.82,25.35,Pvalb/Sst
20190227_sample_3,9.46,23.11,Pvalb/Sst
20190227_sample_4,29.08,14.64,Pvalb/Sst
20190227_sample_5,20.56,33.36,Pvalb/Sst
20190227_sample_6,29.84,62.08,Pvalb/Sst
20190227_sample_7,-21.86,2.28,Pvalb/Sst
20190318_sample_3,17.74,33.18,Pvalb/Sst
20190318_sample_4,-2.65,22.4,Pvalb/Sst
20190318_sample_5,58.12,13.47,Pvalb/Sst
20190318_sample_6,20.7,33.33,Pvalb/Sst
20190320_sample_4,-13.09,52.43,Excitatory
20190320_sample_5,-48.48,-0.91,Excitatory
20190320_sample_6,-44.12,9.32,Excitatory
20190320_sample_9,-17.11,56.83,Excitatory
20190321_sample_2,,,           
20190321_sample_4,0.95,55.29,Excitatory
20190321_sample_6,-56.74,-3.73,Excitatory
20190322_sample_1,0.22,55.09,Excitatory
20190322_sample_2,26.27,20.96,Excitatory
20190322_sample_3,-52.52,-5.79,Excitatory
20190322_sample_4,-50.46,7.78,Excitatory
20190325_sample_1,42.41,-1.96,Lamp5/Vip
20190325_sample_2,,,           
20190325_sample_3,1.07,54.83,Excitatory
20190325_sample_4,-54.42,1.57,Excitatory
20190325_sample_5,-53.55,-16.59,Excitatory
20190325_sample_6,-33.38,-18.38,Excitatory
20190325_sample_7,3.35,54.99,Excitatory
20190325_sample_9,-40.47,7.26,Excitatory
20190326_sample_1,-53.85,7.92,Excitatory
20190326_sample_2,-27.22,35.38,Lamp5/Vip
20190326_sample_3,-21.51,33.17,Lamp5/Vip
20190326_sample_4,-41.22,-38.64,Excitatory
20190327_sample_1,-21.22,-33.21,Excitatory
20190327_sample_2,0.36,54.15,Excitatory
20190327_sample_4,-37.38,3.06,Excitatory
20190327_sample_7,-42.33,5.27,Lamp5/Vip
20190328_sample_1,-57.36,-3.9,Excitatory
20190328_sample_2,-57.23,-3.49,Excitatory
20190328_sample_3,-38.51,-2.05,Excitatory
20190328_sample_4,-44.74,-9.66,Excitatory
20190328_sample_5,-34.38,-5.01,Excitatory
20190328_sample_6,-42.33,-8.05,Excitatory
20190328_sample_8,-5.03,53.53,Excitatory
20190328_sample_9,-20.44,-19.9,Excitatory
20190329_sample_3,-30.67,0.57,Excitatory
20190329_sample_4,-42.94,-7.39,Excitatory
20190329_sample_5,-43.71,-11.77,Excitatory
20190402_sample_2,-52.53,4.68,Excitatory
20190402_sample_3,31.09,8.76,Excitatory
20190402_sample_5,,,           
20190402_sample_6,-29.18,27.42,Lamp5/Vip
20190403_sample_3,,,           
20190403_sample_5,-17.28,54.66,Excitatory
20190403_sample_6,61.49,6.77,Pvalb/Sst
20190403_sample_7,15.21,33.71,Pvalb/Sst
20190408_sample_1,-26.34,-13.98,Pvalb/Sst
20190408_sample_2,15.6,31.69,Pvalb/Sst
20190408_sample_5,18.38,24.69,Pvalb/Sst
20190408_sample_6,9.48,32.91,Pvalb/Sst
20190409_sample_2,,,           
20190409_sample_3,,,           
20190409_sample_4,1.42,-4.11,Pvalb/Sst
20190409_sample_5,-30.19,2.84,Excitatory
20190409_sample_7,13.42,34.15,Pvalb/Sst
20190409_sample_8,-39.81,10.84,Excitatory
20190409_sample_9,-11.76,47.05,Excitatory
20190409_sample_10,-42.64,-8.29,Excitatory
20190409_sample_11,-11.5,47.67,Excitatory
20190410_sample_3,-41.46,-35.78,Excitatory
20190410_sample_4,16.15,-11.99,Pvalb/Sst
20190410_sample_6,41.5,3.67,Excitatory
20190410_sample_7,-31.53,-13.09,Excitatory
20190410_sample_10,-44.5,-24.68,Excitatory
20190411_sample_1,-36.02,-1.68,Excitatory
20190411_sample_3,,,           
20190411_sample_5,-57.15,-2.81,Excitatory
20190411_sample_6,-21.33,-16.22,Pvalb/Sst
20190411_sample_8,-28.1,1.42,Excitatory
20190412_sample_1,-11.82,-28.38,Pvalb/Sst
20190412_sample_3,-15.62,50.23,Excitatory
20190412_sample_6,-18.96,-21.2,Pvalb/Sst
20190415_sample_1,-15.53,-20.09,Pvalb/Sst
20190415_sample_3,-51.13,-16.98,Excitatory
20190415_sample_4,-12.43,53.0,Excitatory
20190415_sample_6,-35.56,3.29,Excitatory
20190415_sample_8,26.36,56.99,Pvalb/Sst
20190415_sample_10,-4.96,53.82,Excitatory
20190416_sample_3,-33.52,3.38,Excitatory
20190416_sample_4,-10.01,-24.13,Pvalb/Sst
20190416_sample_5,4.36,-15.83,Pvalb/Sst
20190416_sample_6,-6.21,52.41,Excitatory
20190416_sample_7,,,           
20190416_sample_8,-13.86,-24.56,Pvalb/Sst
20190416_sample_9,-9.67,53.82,Excitatory
20190416_sample_10,-33.61,-1.21,Excitatory
20190417_sample_2,-29.53,-6.61,Excitatory
20190417_sample_3,-26.22,-29.92,Excitatory
20190417_sample_4,13.71,2.28,Pvalb/Sst
20190417_sample_5,3.48,-12.31,Pvalb/Sst
20190417_sample_9,-52.55,-4.05,Excitatory
20190417_sample_10,17.69,-26.35,Pvalb/Sst
20190418_sample_2,0.38,-50.93,Pvalb/Sst
20190418_sample_4,-57.55,-4.33,Excitatory
20190418_sample_5,0.6,56.26,Excitatory
20190418_sample_7,-43.41,-9.62,Excitatory
20190418_sample_8,-15.67,-21.19,Pvalb/Sst
20190418_sample_9,-26.9,-14.99,Excitatory
20190418_sample_10,-33.31,-0.64,Excitatory
20190422_sample_1,-13.72,-24.56,Pvalb/Sst
20190422_sample_4,-42.05,-29.74,Pvalb/Sst
20190422_sample_5,-12.86,-38.32,Pvalb/Sst
20190422_sample_6,-29.59,1.05,Excitatory
20190422_sample_7,-14.28,53.1,Excitatory
20190422_sample_8,-23.4,-49.06,Pvalb/Sst
20190422_sample_10,-47.32,6.69,Excitatory
20190423_sample_1,-1.62,53.32,Excitatory
20190423_sample_3,-56.13,-3.17,Excitatory
20190423_sample_5,-20.42,-30.21,Excitatory
20190423_sample_7,-34.89,-1.67,Excitatory
20190423_sample_8,-29.1,24.9,Pvalb/Sst
20190423_sample_10,-17.43,-18.44,Pvalb/Sst
20190424_sample_1,-28.39,0.97,Excitatory
20190424_sample_2,-21.33,-16.51,Pvalb/Sst
20190424_sample_3,-42.55,-9.98,Excitatory
20190424_sample_4,-41.12,-35.64,Excitatory
20190424_sample_5,-34.68,-2.66,Excitatory
20190424_sample_6,-16.7,53.13,Excitatory
20190424_sample_7,35.82,34.11,Lamp5/Vip
20190425_sample_1,-5.65,53.7,Excitatory
20190425_sample_4,43.52,-19.95,Lamp5/Vip
20190425_sample_6,35.98,14.68,Pvalb/Sst
20190425_sample_7,-5.17,54.0,Excitatory
20190425_sample_8,-55.44,-18.67,Excitatory
20190425_sample_9,-27.07,1.92,Excitatory
20190425_sample_12,-30.24,1.02,Excitatory
20190425_sample_13,-36.46,6.19,Excitatory
20190425_sample_14,-35.97,-0.64,Excitatory
20190425_sample_16,-5.99,58.74,Excitatory
20190429_sample_1,-40.25,22.17,Pvalb/Sst
20190429_sample_4,-26.65,-9.39,Pvalb/Sst
20190429_sample_5,-13.72,-24.29,Pvalb/Sst
20190429_sample_6,-47.69,-35.97,Pvalb/Sst
20190429_sample_7,-47.53,-11.64,Excitatory
20190430_sample_1,-30.49,-26.45,Lamp5/Vip
20190430_sample_3,-35.1,11.55,Lamp5/Vip
20190430_sample_4,-14.18,42.82,Lamp5/Vip
20190430_sample_5,-25.3,29.6,Lamp5/Vip
20190430_sample_6,-57.77,8.56,Lamp5/Vip
20190430_sample_7,26.81,-28.71,Excitatory
20190430_sample_8,2.91,10.01,Lamp5/Vip
20190430_sample_9,40.33,23.14,Excitatory
20190430_sample_10,18.09,-27.07,Excitatory
20190501_sample_1,-37.44,17.26,Lamp5/Vip
20190501_sample_3,-39.18,8.67,Lamp5/Vip
20190501_sample_4,-34.84,13.13,Lamp5/Vip
20190501_sample_5,-32.3,-0.22,Excitatory
20190501_sample_6,-22.86,33.52,Lamp5/Vip
20190501_sample_7,-13.72,-24.56,Pvalb/Sst
20190501_sample_8,-56.85,8.88,Lamp5/Vip
20190501_sample_9,-21.56,-20.59,Pvalb/Sst
20190501_sample_11,-27.06,26.26,Pvalb/Sst
20190501_sample_12,-4.67,47.3,Excitatory
20190501_sample_14,-25.74,-49.06,Pvalb/Sst
20190503_sample_1,-30.94,1.45,Lamp5/Vip
20190503_sample_3,-37.19,-6.92,Lamp5/Vip
20190506_sample_1,-39.28,15.17,Lamp5/Vip
20190506_sample_2,-48.57,5.44,Lamp5/Vip
20190506_sample_3,-41.82,14.11,Lamp5/Vip
20190506_sample_4,-53.59,-3.97,Excitatory
20190506_sample_5,-25.31,29.6,Lamp5/Vip
20190506_sample_6,-44.48,12.06,Excitatory
20190506_sample_7,-45.27,2.59,Lamp5/Vip
20190507_sample_2,-40.52,0.04,Lamp5/Vip
20190507_sample_3,-32.22,-0.84,Excitatory
20190507_sample_4,-31.53,26.0,Lamp5/Vip
20190507_sample_5,-34.44,17.06,Lamp5/Vip
20190507_sample_6,-40.65,15.17,Lamp5/Vip
20190508_sample_1,11.75,58.26,Lamp5/Vip
20190508_sample_2,57.7,-3.44,Pvalb/Sst
20190508_sample_3,62.85,-1.71,Lamp5/Vip
20190508_sample_4,46.49,-43.74,Pvalb/Sst
20190508_sample_5,,,           
20190508_sample_6,-14.45,-25.71,Pvalb/Sst
20190508_sample_7,-5.08,-43.63,Pvalb/Sst
20190509_sample_2,-25.04,35.15,Lamp5/Vip
20190509_sample_3,31.33,-7.47,Lamp5/Vip
20190509_sample_4,-6.13,0.48,Lamp5/Vip
20190509_sample_5,23.79,22.6,Lamp5/Vip
20190509_sample_9,-56.5,-1.49,Lamp5/Vip
20190513_sample_1,7.55,49.02,Lamp5/Vip
20190513_sample_2,-40.41,-32.43,Lamp5/Vip
20190513_sample_3,-37.51,17.87,Lamp5/Vip
20190513_sample_4,-39.84,16.2,Lamp5/Vip
20190513_sample_5,14.28,44.95,Lamp5/Vip
20190514_sample_2,-14.0,-25.94,Pvalb/Sst
20190514_sample_4,44.34,16.34,Lamp5/Vip
20190514_sample_7,40.93,30.84,Lamp5/Vip
20190514_sample_8,-17.27,-21.89,Pvalb/Sst
20190515_sample_1,39.98,20.87,Lamp5/Vip
20190515_sample_2,,,           
20190515_sample_3,,,           
20190515_sample_4,-35.36,-2.03,Lamp5/Vip
20190515_sample_5,14.46,57.74,Lamp5/Vip
20190515_sample_6,-42.11,13.13,Lamp5/Vip
20190515_sample_7,7.3,45.78,Lamp5/Vip
20190515_sample_8,-20.4,-1.23,Lamp5/Vip
20190515_sample_9,12.34,53.5,Lamp5/Vip
20190515_sample_10,-51.21,-25.26,Lamp5/Vip
20190515_sample_11,15.35,37.11,Lamp5/Vip
20190515_sample_12,-33.15,-27.97,Lamp5/Vip
20190515_sample_13,-44.4,11.84,Lamp5/Vip
20190515_sample_14,-31.99,21.74,Lamp5/Vip
20190515_sample_15,40.55,21.88,Lamp5/Vip
20190516_sample_2,-5.43,-7.0,Pvalb/Sst
20190516_sample_3,23.91,29.87,Lamp5/Vip
20190516_sample_4,-5.15,-54.27,Pvalb/Sst
20190516_sample_5,44.72,23.69,Lamp5/Vip
20190516_sample_6,29.89,56.81,Pvalb/Sst
20190522_sample_1,11.11,39.7,Lamp5/Vip
20190528_sample_2,-42.94,-19.85,Lamp5/Vip
20190528_sample_4,-54.06,12.22,Lamp5/Vip
20190528_sample_6,-35.76,-29.16,Lamp5/Vip
20190528_sample_7,15.65,41.43,Lamp5/Vip
20190528_sample_8,-38.35,13.29,Lamp5/Vip
20190528_sample_9,-3.94,-1.49,Lamp5/Vip
20190529_sample_2,-32.71,15.32,Lamp5/Vip
20190529_sample_3,,,           
20190529_sample_6,-42.79,15.17,Lamp5/Vip
20190603_sample_1,22.11,32.88,Lamp5/Vip
20190603_sample_2,-27.22,31.98,Lamp5/Vip
20190603_sample_3,-29.93,6.64,Lamp5/Vip
20190603_sample_4,-3.3,1.45,Lamp5/Vip
20190603_sample_5,48.09,0.99,Lamp5/Vip
20190603_sample_6,27.17,35.08,Lamp5/Vip
20190603_sample_7,14.91,36.01,Lamp5/Vip
20190603_sample_9,,,           
20190603_sample_10,-26.18,25.89,Lamp5/Vip
20190604_sample_2,-14.81,-24.21,Pvalb/Sst
20190604_sample_4,33.74,31.44,Lamp5/Vip
20190604_sample_6,42.57,18.33,Lamp5/Vip
20190604_sample_8,-16.11,-36.09,Pvalb/Sst
20190604_sample_12,-6.92,41.14,Excitatory
20190605_sample_1,,,           
20190605_sample_2,-45.23,17.41,Lamp5/Vip
20190605_sample_4,-3.3,-1.38,Lamp5/Vip
20190605_sample_5,40.18,20.97,Lamp5/Vip
20190605_sample_6,-39.43,14.93,Lamp5/Vip
20190606_sample_1,-17.13,60.46,Pvalb/Sst
20190606_sample_2,-17.53,59.27,Pvalb/Sst
20190606_sample_3,-17.05,60.01,Pvalb/Sst
20190606_sample_5,-17.93,60.28,Pvalb/Sst
20190606_sample_6,39.73,16.46,Excitatory
20190606_sample_7,,,           
20190606_sample_9,0.34,35.95,Pvalb/Sst
20190607_sample_2,16.51,-25.8,Pvalb/Sst
20190607_sample_3,20.45,32.74,Lamp5/Vip
20190607_sample_5,,,           
20190610_sample_1,-2.33,31.51,Pvalb/Sst
20190610_sample_2,-16.9,60.19,Pvalb/Sst
20190610_sample_3,53.36,6.08,Lamp5/Vip
20190610_sample_4,-17.1,61.7,Pvalb/Sst
20190610_sample_5,,,           
20190610_sample_7,,,           
20190610_sample_8,-16.51,61.36,Pvalb/Sst
20190610_sample_9,38.13,-0.28,Lamp5/Vip
20190610_sample_10,-17.26,62.17,Pvalb/Sst
20190610_sample_12,-19.38,59.52,Pvalb/Sst
20190610_sample_16,43.92,-19.56,Lamp5/Vip
20190610_sample_18,-28.67,38.07,Lamp5/Vip
20190611_sample_1,28.97,-36.71,Excitatory
20190611_sample_3,39.76,20.24,Lamp5/Vip
20190611_sample_4,-8.67,-52.52,Pvalb/Sst
20190611_sample_5,,,           
20190611_sample_7,40.06,16.99,Lamp5/Vip
20190611_sample_8,5.04,-33.94,Pvalb/Sst
20190611_sample_10,8.7,-0.35,Pvalb/Sst
20190611_sample_11,0.69,55.2,Excitatory
20190611_sample_14,,,           
20190611_sample_15,12.12,41.47,Lamp5/Vip
20190612_sample_1,52.78,-15.53,Lamp5/Vip
20190612_sample_2,-17.37,60.3,Pvalb/Sst
20190612_sample_4,-28.95,1.25,Lamp5/Vip
20190612_sample_6,-17.17,60.28,Pvalb/Sst
20190612_sample_7,31.6,-11.97,Lamp5/Vip
20190612_sample_8,35.96,-15.15,Lamp5/Vip
20190613_sample_2,23.93,20.51,Pvalb/Sst
20190613_sample_3,54.58,-1.74,Pvalb/Sst
20190613_sample_4,22.0,4.05,Pvalb/Sst
20190613_sample_6,-15.24,-27.94,Pvalb/Sst
20190613_sample_7,26.9,18.42,Pvalb/Sst
20190613_sample_8,-16.75,-35.34,Pvalb/Sst
20190613_sample_9,20.94,17.7,Pvalb/Sst
20190613_sample_10,3.81,-51.94,Pvalb/Sst
20190614_sample_2,-31.73,13.81,Lamp5/Vip
20190614_sample_3,11.24,34.72,Lamp5/Vip
20190614_sample_4,-28.82,1.69,Lamp5/Vip
20190614_sample_6,-51.08,-4.42,Lamp5/Vip
20190614_sample_8,-22.87,-39.76,Lamp5/Vip
20190617_sample_1,52.45,6.81,Lamp5/Vip
20190617_sample_2,-27.09,1.18,Excitatory
20190617_sample_3,-7.33,-51.56,Pvalb/Sst
20190617_sample_4,22.28,22.02,Pvalb/Sst
20190617_sample_5,,,           
20190617_sample_6,3.8,-50.72,Pvalb/Sst
20190618_sample_1,,,           
20190618_sample_2,-21.57,-39.83,Lamp5/Vip
20190618_sample_4,-9.44,-12.53,Lamp5/Vip
20190618_sample_5,-11.28,21.61,Lamp5/Vip
20190618_sample_7,47.27,18.35,Lamp5/Vip
20190618_sample_8,7.43,47.27,Lamp5/Vip
20190619_sample_1,44.03,-14.94,Lamp5/Vip
20190619_sample_3,-17.01,60.08,Pvalb/Sst
20190619_sample_4,-16.54,61.59,Pvalb/Sst
20190619_sample_5,-17.05,60.98,Pvalb/Sst
20190619_sample_6,42.55,-9.49,Lamp5/Vip
20190620_sample_1,42.26,13.38,Lamp5/Vip
20190620_sample_2,14.9,-30.38,Pvalb/Sst
20190620_sample_5,-2.41,-52.08,Pvalb/Sst
20190620_sample_6,30.23,62.25,Pvalb/Sst
20190620_sample_8,-19.02,-22.68,Pvalb/Sst
20190624_sample_1,3.11,-53.26,Pvalb/Sst
20190624_sample_2,5.29,-52.81,Pvalb/Sst
20190624_sample_3,-1.48,-3.22,Pvalb/Sst
20190624_sample_4,-15.29,-36.39,Pvalb/Sst
20190624_sample_5,-0.43,-14.7,Pvalb/Sst
20190624_sample_6,23.38,20.7,Pvalb/Sst
20190625_sample_1,-40.32,-35.8,Lamp5/Vip
20190625_sample_2,,,           
20190625_sample_3,-23.16,-32.55,Lamp5/Vip
20190625_sample_4,-28.07,36.13,Lamp5/Vip
20190625_sample_5,-6.87,-33.33,Lamp5/Vip
20190625_sample_6,35.42,3.64,Lamp5/Vip
20190625_sample_7,-44.29,14.85,Lamp5/Vip
20190625_sample_8,-31.18,11.87,Lamp5/Vip
20190625_sample_10,-61.84,-1.56,Lamp5/Vip
20190625_sample_11,-7.45,-30.36,Lamp5/Vip
20190625_sample_12,-25.31,29.38,Lamp5/Vip
20190625_sample_13,-63.76,-9.45,Lamp5/Vip
20190626_sample_1,-10.01,21.59,Lamp5/Vip
20190626_sample_4,,,           
20190626_sample_5,-54.87,7.3,Lamp5/Vip
20190627_sample_1,-38.32,-38.21,Excitatory
20190627_sample_2,32.75,-10.63,Lamp5/Vip
20190627_sample_4,-4.57,-55.53,Excitatory
20190627_sample_6,-45.89,9.28,Pvalb/Sst
20190627_sample_8,47.62,-8.82,Excitatory
20190628_sample_1,16.49,-27.99,Pvalb/Sst
20190628_sample_2,-38.71,-26.89,Pvalb/Sst
20190628_sample_3,63.84,-18.07,Pvalb/Sst
20190628_sample_4,15.49,-33.07,Pvalb/Sst
20190628_sample_5,20.38,22.02,Pvalb/Sst
20190628_sample_6,-16.74,-41.49,Pvalb/Sst
20190628_sample_7,18.68,37.44,Pvalb/Sst
20190703_sample_1,-13.83,-24.99,Pvalb/Sst
20190703_sample_2,-15.05,-23.56,Pvalb/Sst
20190703_sample_3,-33.05,23.15,Pvalb/Sst
20190703_sample_5,-27.92,17.02,Pvalb/Sst
20190703_sample_6,-16.74,-35.97,Pvalb/Sst
20190703_sample_8,-14.07,-25.93,Pvalb/Sst
20190703_sample_10,-16.08,-36.7,Pvalb/Sst
20190703_sample_12,-14.96,-37.61,Pvalb/Sst
20190703_sample_13,29.56,55.0,Pvalb/Sst
20190703_sample_14,,,           
20190703_sample_15,17.72,-26.67,Pvalb/Sst
20190704_sample_2,1.53,20.92,Pvalb/Sst
20190704_sample_12,-60.42,-11.35,Lamp5/Vip
20190704_sample_14,-9.62,-32.85,Lamp5/Vip
20190705_sample_1,-3.14,-1.17,Lamp5/Vip
20190705_sample_3,-8.39,-40.23,Lamp5/Vip
20190705_sample_4,-35.31,13.03,Lamp5/Vip
20190705_sample_5,-11.54,23.74,Lamp5/Vip
20190705_sample_9,-54.87,-11.84,Lamp5/Vip
20190708_sample_3,,,           
20190708_sample_4,-14.97,-22.21,Pvalb/Sst
20190708_sample_6,-12.32,23.53,Lamp5/Vip
20190708_sample_7,-1.45,-15.09,Lamp5/Vip
20190708_sample_8,-0.83,7.67,Excitatory
20190708_sample_12,-34.66,-36.69,Lamp5/Vip
20190709_sample_1,-20.24,-39.03,Lamp5/Vip
20190709_sample_2,-19.37,-44.95,Lamp5/Vip
20190709_sample_3,-41.66,-26.32,Lamp5/Vip
20190709_sample_8,,,           
20190709_sample_10,-3.56,-1.95,Lamp5/Vip
20190709_sample_11,-24.59,-42.33,Lamp5/Vip
20190709_sample_12,-11.1,-47.1,Lamp5/Vip
20190709_sample_13,-3.79,-2.23,Lamp5/Vip
20190709_sample_14,-58.93,7.04,Lamp5/Vip
20190710_sample_3,14.67,-19.98,Pvalb/Sst
20190710_sample_4,14.7,-27.35,Pvalb/Sst
20190710_sample_5,-11.02,-44.17,Pvalb/Sst
20190710_sample_6,15.43,-32.82,Pvalb/Sst
20190710_sample_8,-31.98,-25.03,Lamp5/Vip
20190710_sample_10,-42.44,16.78,Lamp5/Vip
20190712_sample_1,-23.21,-13.34,Excitatory
20190712_sample_3,7.27,2.0,Pvalb/Sst
20190712_sample_4,,,           
20190712_sample_5,32.07,-4.26,Lamp5/Vip
20190712_sample_6,41.25,-8.76,Lamp5/Vip
20190712_sample_7,36.08,-14.83,Lamp5/Vip
20190715_sample_1,37.51,-18.99,Lamp5/Vip
20190715_sample_4,46.19,-6.92,Lamp5/Vip
20190715_sample_5,-8.89,-41.91,Lamp5/Vip
20190715_sample_6,39.56,-22.87,Lamp5/Vip
20190715_sample_7,-33.08,-28.23,Lamp5/Vip
20190715_sample_8,43.44,-9.55,Lamp5/Vip
20190715_sample_9,-57.33,7.06,Lamp5/Vip
20190715_sample_10,,,           
20190715_sample_11,35.53,8.26,Lamp5/Vip
20190716_sample_1,,,           
20190716_sample_3,35.43,56.28,Pvalb/Sst
20190716_sample_5,-13.03,-34.95,Pvalb/Sst
20190716_sample_7,-25.03,-44.83,Lamp5/Vip
20190716_sample_8,26.77,-3.26,Lamp5/Vip
20190716_sample_9,-3.76,-8.64,Lamp5/Vip
20190717_sample_1,54.88,-1.69,Pvalb/Sst
20190717_sample_2,-5.56,-53.62,Pvalb/Sst
20190717_sample_3,-0.55,-2.66,Pvalb/Sst
20190718_sample_1,-19.22,-44.81,Lamp5/Vip
